minute,composite_z,is_anomalous,consecutive_anomalous,resp_anomalous,consecutive_resp_anomalous,alert_fired,alert_type,hr_z,hrv_rmssd_z,resp_rate_z,movement_z
115,10.030403077477185,True,1,False,0,False,,13.91557388888712,6.239373820624352,0.8201135243128791,19.146551076084393
120,3.5452832839260253,True,2,False,0,True,possible_pain_event,5.531172140637466,4.849916599164582,-1.0449795731191522,4.845023969021203
125,2.6898418520983194,True,3,False,0,False,,3.397143815592793,2.6058497436996024,0.4395035972971598,4.3168702518037225
130,2.3869000531265914,True,4,False,0,False,,3.0647497986946837,2.6781021610908566,0.7161842218704224,3.088564030850403
135,2.527969460341418,True,5,False,0,False,,3.1942688906794827,2.556066799198816,1.3762292152881739,2.9853129361992004
140,-0.027198046415964766,False,0,False,0,False,,-0.8996036949185949,-0.8125811801626108,2.473415271440906,-0.8700225820235591
145,0.08960551901961736,False,0,False,0,False,,-0.9488362855485637,-1.380587389865352,3.0286540990845294,-0.3408083475921443
150,-1.4327925978953038,False,0,False,0,False,,-0.7163459167467028,-1.800604622953056,-2.445103514876571,-0.769116337004886
155,-0.4225849230860837,False,0,False,0,False,,-0.7621078392301323,-1.296090624611533,0.5286628759670318,-0.1608041044697016
160,-0.9117520999489864,False,0,False,0,False,,-0.9325113205969361,-1.7217432278968512,-0.2646665923817089,-0.7280872589204495
165,-0.27809222162887914,False,0,False,0,False,,-1.0514950537339183,-1.6687115522742488,2.045101958841931,-0.43726423934928016
170,-0.49851187342245395,False,0,False,0,False,,-0.468449155665215,-1.0982104511097277,0.41483457237583776,-0.8422224592907107
175,-0.4365732974637677,False,0,False,0,False,,-0.7513585676160741,-0.9617940945639487,0.5487509947284221,-0.5818915224034702
180,-0.481861829302767,False,0,False,0,False,,-1.2463727192379301,-1.904494363027565,2.0202448719842647,-0.7968251069298375
185,-0.9623495658437541,False,0,False,0,False,,-0.6836905591832971,-1.4065040434708767,-1.2932282525236953,-0.46597540819714683
190,-0.7384301487676327,False,0,False,0,False,,-0.6947965054921368,-1.3714260082044458,-0.6351443803610087,-0.2523537010129392
195,-0.37253651246011144,False,0,False,0,False,,-0.6788249150752482,-1.7236292080902131,1.248796753141922,-0.33648867981690633
200,-0.9676125582709008,False,0,False,0,False,,-0.946562769259935,-1.9706828181211364,-0.18742471320168094,-0.7657799325008509
205,-0.3874082750515785,False,0,False,0,False,,-0.5057720653449805,-0.024863895000457346,-0.24064363536739247,-0.7783535044934835
210,-0.7513506261822357,False,0,False,0,False,,-1.0084779134761592,-1.7809695735018198,0.4597752021641934,-0.6757302199151572
215,-0.5678158600310137,False,0,False,0,False,,-0.5385644562812686,-1.5100370054805752,0.5250283957818064,-0.7476903741440173
220,-0.24816413945992183,False,0,False,0,False,,-0.7443958292965289,-0.9433048092428674,0.9887593613416528,-0.2937152806419437
225,-0.31245195052062846,False,0,False,0,False,,-0.4053051765855615,-1.5032413074315756,1.1286269794679409,-0.46988829753331773
230,2.7441736628900686,True,1,False,0,False,,2.786790136180617,2.160992242442542,2.7803758651391925,3.248536407797923
235,2.010516915319958,True,2,False,0,True,possible_pain_event,2.7257954535188795,1.3825175463626718,1.409515116419249,2.524239544979032
240,1.6690405560387047,False,0,False,0,False,,2.4766727054703392,1.49513530817986,0.4102493535251327,2.2941048569794864
245,-0.42663209578541816,False,0,False,0,False,,-0.8950957854521786,-1.2008924341869334,1.1640880939141225,-0.7746282574166833
250,-0.6170587131905625,False,0,False,0,False,,-0.808009973126798,-0.7876122305118968,-0.32227212474526024,-0.5503405243782948
255,-0.4148657664945353,False,0,False,0,False,,-0.8673700937136515,-1.0203383917544677,0.7598166882194058,-0.5315712687294282
260,-0.07638014739176738,False,0,False,0,False,,-0.673354010492072,-0.6388871501287731,1.7486250806351717,-0.7419045095813962
265,0.11915002748361853,False,0,False,0,False,,-0.6151544149299647,-0.6812752062178671,2.0789759836805253,-0.3059462525982195
270,-0.0820029524477964,False,0,False,0,False,,-0.7875195187100427,-0.9803004659009059,1.59126957052769,-0.15146139570792705
275,-0.39790382274452163,False,0,False,0,False,,-0.6398455125689732,-0.8297479205647547,0.6104839130009188,-0.7325057708452777
280,-0.34037163136606163,False,0,False,0,False,,-0.8022639341692513,-0.5989420093824384,0.756424990271138,-0.7167055721836948
285,0.17252202821257656,False,0,True,1,True,possible_respiratory_event,-0.7641831535975114,-1.4339902632472394,3.252114143482343,-0.363852613787286
290,-0.6040722021009505,False,0,False,0,False,,-1.0168079884849552,-0.5512713416316019,-0.1514037508568087,-0.6968057274304359
295,-0.8180858355354658,False,0,False,0,False,,-0.8302652332101133,-0.7179330412539554,-1.1383537408593443,-0.5857913268184505
300,-0.2422845593527339,False,0,False,0,False,,-0.7006973348025812,-0.6934654883391087,0.9567769422963152,-0.5317523565655607
305,-0.29510451934564597,False,0,False,0,False,,-0.5176848990275192,0.16503927183982287,-0.16071215880409945,-0.6670602913907879
310,3.1193935806762036,True,1,True,1,True,possible_respiratory_event,0.28476616756560946,-1.6491859059501721,14.420890557641956,-0.5788964965525782
315,-0.5034364370492677,False,0,False,0,False,,-0.4651562598244657,-0.35222980531877396,-0.5530607276967417,-0.643298955357089
320,-0.39542494842746323,False,0,False,0,False,,-0.48022699666876895,-0.8183672865694652,0.21057839677584533,-0.4936839072474642
325,-0.12497505386822169,False,0,False,0,False,,-0.4029392041265979,0.32568702112507564,-0.03858704456551664,-0.38406098790584786
330,-0.5344839431019375,False,0,False,0,False,,-0.7535348001159694,-0.4144249430966371,-0.6648955362441414,-0.30508049295100215
335,-0.2569976756478341,False,0,False,0,False,,-0.40901155651701177,0.19616917087630403,-0.4787892496019009,-0.33635906734872784
340,-0.33553172618446664,False,0,False,0,False,,-0.5837226289925904,-0.22171311806500726,-0.00928287720067655,-0.5274082804795923
345,-0.5714376124278102,False,0,False,0,False,,-0.4894868053969819,-0.89500195125765,-0.6343048326887757,-0.2669568603678333
350,-0.17948022386012122,False,0,False,0,False,,0.11778348292901801,-0.6424281174188734,-0.4090753584107038,0.21579909746007442
355,-0.38893848112251683,False,0,False,0,False,,0.09407214363740961,-0.5272524364350181,-0.5937787469554264,-0.5287948847370324
360,-0.4815329722467936,False,0,False,0,False,,-0.08444788011639433,-0.4301649027560676,-0.795681793839946,-0.6158373122747666
365,-0.24758118432219328,False,0,False,0,False,,-0.1612456049197672,0.5533766321255976,-0.8413267266738892,-0.5411290378207143
370,-0.04888894573484273,False,0,False,0,False,,-0.1445909143185703,0.32712418010449895,0.17704752790526115,-0.5551365766305607
375,-0.3193604698619116,False,0,False,0,False,,-0.4678575273765372,-0.3499935349070733,0.12513844267326799,-0.5847292598373037
380,-0.48843081479115863,False,0,False,0,False,,-0.5042524721650566,-0.648801511646041,-0.4730935267917332,-0.3275757485618034
385,-0.20247201668821238,False,0,False,0,False,,-0.08147352060727842,-0.19628578663984306,-0.14351181336855193,-0.3886169461371761
390,0.11621399504870827,False,0,False,0,False,,-0.24618779545123423,-0.1950123912594712,1.049699361424982,-0.14364319451944366
395,-0.29273283031383884,False,0,False,0,False,,-0.2966888475882831,-0.13099021427161855,-0.7770473170515468,0.03379505765609306
400,0.1387222185177374,False,0,False,0,False,,-0.08601164717164567,-0.1463344854967156,0.1747005846061674,0.6125344221331435
405,-0.05728833014787361,False,0,False,0,False,,-0.05252385012091075,0.009516769327506216,-0.283385022894003,0.09723878309591313
410,0.1527909923227386,False,0,False,0,False,,0.0477816545405896,0.8033737824768905,-0.14039925985185697,-0.09959220787466867
415,-0.3104266835444835,False,0,False,0,False,,-0.16700520118895343,-0.1312889792061669,-0.3220927259225539,-0.6213198278602597
420,-0.09763797516940005,False,0,False,0,False,,0.07194883836360513,0.8190983890001238,-0.7952982644604375,-0.4863008635808916
425,0.20853462606569367,False,0,False,0,False,,-0.23787085510040978,1.130130962944882,0.30114202577642696,-0.3592636293581244
430,0.09434521350801493,False,0,False,0,False,,0.4823151845967173,0.39411380142428976,-0.4330719507419174,-0.06597618124702992
435,0.32250167893978965,False,0,False,0,False,,0.591154165275163,1.153701012839416,0.11019923332990492,-0.5650476956853252
440,0.14709663177673446,False,0,False,0,False,,-0.12455950257297436,1.0571924980495402,-0.5013622258173227,0.15711575744769465
445,0.15145706880492849,False,0,False,0,False,,0.35285049560612347,0.5205845062692342,-0.8194698044615156,0.5518630778058718
450,0.08214084028677837,False,0,False,0,False,,0.19691376538271893,1.0224197501797176,-1.1809755112313396,0.29020535681601656
455,0.35112129552073124,False,0,False,0,False,,0.33087628271665454,1.0895285232681695,-0.598006381485125,0.5820867575832259
460,-0.26875440846492565,False,0,False,0,False,,0.3496276787537985,0.46887398047154855,-1.9505796947315241,0.057060401646474364
465,0.03343756975807874,False,0,False,0,False,,0.7248220580158429,0.20480267416924997,-1.140107673891013,0.34423322073823515
470,-0.01511656862410675,False,0,False,0,False,,0.5549988488638861,0.45568456046170475,-1.285243595177847,0.21409391135582917
475,-0.00624637457220073,False,0,False,0,False,,0.14880748971652402,0.4303038980553637,-1.0466593234371695,0.44256243737647893
